Running preemptive_example with Pi approximator...
starting timer with. 0 s and 10000 us
starting timer with. 0 s and 10000 us
Initiating pi_task (ID: 2, Terms: 100000000)
Task 2 - Pi Val: 3.1415848410897934
Task 2 - Pi Val: 3.1415849016518089
Task 2 - Pi Val: 3.1415849612821011
Task 2 - Pi Val: 3.1415850200020071
Task 2 - Pi Val: 3.1415850778322176
Task 2 - Pi Val: 3.1415851347928009
Task 2 - Pi Val: 3.1415851909032262
Task 2 - Pi Val: 3.1415852461823859
Task 2 - Pi Val: 3.1415853006486169
Task 2 - Pi Val: 3.1415853543197204
Task 2 - Pi Val: 3.1415854072129818
Task 2 - Pi Val: 3.1415854593451890
Task 2 - Pi Val: 3.1415855107326505
Task 2 - Pi Val: 3.1415855613912118
Task 2 - Pi Val: 3.1415856113362722
Task 2 - Pi Val: 3.1415856605828003
Task 2 - Pi Val: 3.1415857091453489
Task 2 - Pi Val: 3.1415857570380692
Task 2 - Pi Val: 3.1415858042747249
Task 2 - Pi Val: 3.1415858508687049
Task 2 - Pi Val: 3.1415858968330366
Task 2 - Pi Val: 3.1415859421803974
Task 2 - Pi Val: 3.1415859869231267
Task 2 - Pi Val: 3.1415860310732370
Task 2 - Pi Val: 3.1415860746424249
Task 2 - Pi Val: 3.1415861176420809
Task 2 - Pi Val: 3.1415861600832998
Task 2 - Pi Val: 3.1415862019768901
Task 2 - Pi Val: 3.1415862433333831
Task 2 - Pi Val: 3.1415862841630417
Task 2 - Pi Val: 3.1415863244758693
Task 2 - Pi Val: 3.1415863642816172
Task 2 - Pi Val: 3.1415864035897933
Task 2 - Pi Val: 3.1415864424096691
Task 2 - Pi Val: 3.1415864807502872
Task 2 - Pi Val: 3.1415865186204682
Task 2 - Pi Val: 3.1415865560288177
Task 2 - Pi Val: 3.1415865929837327
Task 2 - Pi Val: 3.1415866294934078
Task 2 - Pi Val: 3.1415866655658412
Task 2 - Pi Val: 3.1415867012088410
Task 2 - Pi Val: 3.1415867364300300
Task 2 - Pi Val: 3.1415867712368522
Task 2 - Pi Val: 3.1415868056365770
Task 2 - Pi Val: 3.1415868396363050
Task 2 - Pi Val: 3.1415868732429725
Task 2 - Pi Val: 3.1415869064633565
Task 2 - Pi Val: 3.1415869393040790
Task 2 - Pi Val: 3.1415869717716115
Task 2 - Pi Val: 3.1415870038722792
Task 2 - Pi Val: 3.1415870356122652
Task 2 - Pi Val: 3.1415870669976145
Task 2 - Pi Val: 3.1415870980342378
Task 2 - Pi Val: 3.1415871287279149
Task 2 - Pi Val: 3.1415871590842988
Task 2 - Pi Val: 3.1415871891089190
Task 2 - Pi Val: 3.1415872188071846
Task 2 - Pi Val: 3.1415872481843879
Task 2 - Pi Val: 3.1415872772457073
Task 2 - Pi Val: 3.1415873059962104
Task 2 - Pi Val: 3.1415873344408571
Task 2 - Pi Val: 3.1415873625845023
Task 2 - Pi Val: 3.1415873904318986
Task 2 - Pi Val: 3.1415874179876991
Task 2 - Pi Val: 3.1415874452564600
Task 2 - Pi Val: 3.1415874722426431
Task 2 - Pi Val: 3.1415874989506181
Task 2 - Pi Val: 3.1415875253846651
Task 2 - Pi Val: 3.1415875515489770
Task 2 - Pi Val: 3.1415875774476613
Task 2 - Pi Val: 3.1415876030847428
Task 2 - Pi Val: 3.1415876284641652
Task 2 - Pi Val: 3.1415876535897933
Task 2 - Pi Val: 3.1415876784654152
Task 2 - Pi Val: 3.1415877030947438
Task 2 - Pi Val: 3.1415877274814189
Task 2 - Pi Val: 3.1415877516290090
Task 2 - Pi Val: 3.1415877755410128
Task 2 - Pi Val: 3.1415877992208613
Task 2 - Pi Val: 3.1415878226719189
Task 2 - Pi Val: 3.1415878458974856
Task 2 - Pi Val: 3.1415878689007981
Task 2 - Pi Val: 3.1415878916850314
Task 2 - Pi Val: 3.1415879142533004
Task 2 - Pi Val: 3.1415879366086612
Task 2 - Pi Val: 3.1415879587541126
Task 2 - Pi Val: 3.1415879806925970
Task 2 - Pi Val: 3.1415880024270026
Task 2 - Pi Val: 3.1415880239601637
Task 2 - Pi Val: 3.1415880452948624
Task 2 - Pi Val: 3.1415880664338300
Task 2 - Pi Val: 3.1415880873797476
Task 2 - Pi Val: 3.1415881081352479
Task 2 - Pi Val: 3.1415881287029155
Task 2 - Pi Val: 3.1415881490852888
Task 2 - Pi Val: 3.1415881692848606
Task 2 - Pi Val: 3.1415881893040790
Task 2 - Pi Val: 3.1415882091453489
Task 2 - Pi Val: 3.1415882288110323
Task 2 - Pi Val: 3.1415882483034497
Task 2 - Pi Val: 3.1415882676248810
Task 2 - Pi Val: 3.1415882867775662
Task 2 - Pi Val: 3.1415883057637064
Task 2 - Pi Val: 3.1415883245854643
Task 2 - Pi Val: 3.1415883432449657
Task 2 - Pi Val: 3.1415883617442997
Task 2 - Pi Val: 3.1415883800855198
Task 2 - Pi Val: 3.1415883982706444
Task 2 - Pi Val: 3.1415884163016577
Task 2 - Pi Val: 3.1415884341805106
Task 2 - Pi Val: 3.1415884519091210
Task 2 - Pi Val: 3.1415884694893749
Task 2 - Pi Val: 3.1415884869231266
Task 2 - Pi Val: 3.1415885042121999
Task 2 - Pi Val: 3.1415885213583883
Task 2 - Pi Val: 3.1415885383634559
Task 2 - Pi Val: 3.1415885552291376
Task 2 - Pi Val: 3.1415885719571402
Task 2 - Pi Val: 3.1415885885491429
Task 2 - Pi Val: 3.1415886050067974
Task 2 - Pi Val: 3.1415886213317288
Task 2 - Pi Val: 3.1415886375255363
Task 2 - Pi Val: 3.1415886535897933
Task 2 - Pi Val: 3.1415886695260483
Task 2 - Pi Val: 3.1415886853358250
Task 2 - Pi Val: 3.1415887010206233
Task 2 - Pi Val: 3.1415887165819193
Task 2 - Pi Val: 3.1415887320211659
Task 2 - Pi Val: 3.1415887473397933
Task 2 - Pi Val: 3.1415887625392096
Task 2 - Pi Val: 3.1415887776208011
Task 2 - Pi Val: 3.1415887925859323
Task 2 - Pi Val: 3.1415888074359471
Task 2 - Pi Val: 3.1415888221721688
Task 2 - Pi Val: 3.1415888367959002
Task 2 - Pi Val: 3.1415888513084245
Task 2 - Pi Val: 3.1415888657110054
Task 2 - Pi Val: 3.1415888800048876
Task 2 - Pi Val: 3.1415888941912971
Task 2 - Pi Val: 3.1415889082714412
Task 2 - Pi Val: 3.1415889222465097
Task 2 - Pi Val: 3.1415889361176743
Task 2 - Pi Val: 3.1415889498860896
Task 2 - Pi Val: 3.1415889635528929
Task 2 - Pi Val: 3.1415889771192050
Task 2 - Pi Val: 3.1415889905861303
Task 2 - Pi Val: 3.1415890039547568
Task 2 - Pi Val: 3.1415890172261569
Task 2 - Pi Val: 3.1415890304013875
Task 2 - Pi Val: 3.1415890434814900
Task 2 - Pi Val: 3.1415890564674911
Task 2 - Pi Val: 3.1415890693604026
Task 2 - Pi Val: 3.1415890821612219
Task 2 - Pi Val: 3.1415890948709321
Task 2 - Pi Val: 3.1415891074905025
Task 2 - Pi Val: 3.1415891200208887
Task 2 - Pi Val: 3.1415891324630327
Task 2 - Pi Val: 3.1415891448178635
Task 2 - Pi Val: 3.1415891570862968
Task 2 - Pi Val: 3.1415891692692358
Task 2 - Pi Val: 3.1415891813675711
Task 2 - Pi Val: 3.1415891933821808
Task 2 - Pi Val: 3.1415892053139312
Task 2 - Pi Val: 3.1415892171636764
Task 2 - Pi Val: 3.1415892289322590
Task 2 - Pi Val: 3.1415892406205100
Task 2 - Pi Val: 3.1415892522292491
Task 2 - Pi Val: 3.1415892637592848
Task 2 - Pi Val: 3.1415892752114149
Task 2 - Pi Val: 3.1415892865864263
Task 2 - Pi Val: 3.1415892978850953
Task 2 - Pi Val: 3.1415893091081879
Task 2 - Pi Val: 3.1415893202564599
Task 2 - Pi Val: 3.1415893313306571
Task 2 - Pi Val: 3.1415893423315151
Task 2 - Pi Val: 3.1415893532597603
Task 2 - Pi Val: 3.1415893641161091
Task 2 - Pi Val: 3.1415893749012687
Task 2 - Pi Val: 3.1415893856159371
Task 2 - Pi Val: 3.1415893962608031
Task 2 - Pi Val: 3.1415894068365465
Task 2 - Pi Val: 3.1415894173438386
Task 2 - Pi Val: 3.1415894277833417
Task 2 - Pi Val: 3.1415894381557097
Task 2 - Pi Val: 3.1415894484615881
Task 2 - Pi Val: 3.1415894587016144
Task 2 - Pi Val: 3.1415894688764175
Task 2 - Pi Val: 3.1415894789866187
Task 2 - Pi Val: 3.1415894890328313
Task 2 - Pi Val: 3.1415894990156608
Task 2 - Pi Val: 3.1415895089357052
Task 2 - Pi Val: 3.1415895187935550
Task 2 - Pi Val: 3.1415895285897933
Task 2 - Pi Val: 3.1415895383249958
Task 2 - Pi Val: 3.1415895479997312
Task 2 - Pi Val: 3.1415895576145611
Task 2 - Pi Val: 3.1415895671700402
Task 2 - Pi Val: 3.1415895766667163
Task 2 - Pi Val: 3.1415895861051307
Task 2 - Pi Val: 3.1415895954858177
Task 2 - Pi Val: 3.1415896048093055
Task 2 - Pi Val: 3.1415896140761155
Task 2 - Pi Val: 3.1415896232867630
Task 2 - Pi Val: 3.1415896324417570
Task 2 - Pi Val: 3.1415896415416005
Task 2 - Pi Val: 3.1415896505867903
Task 2 - Pi Val: 3.1415896595778172
Task 2 - Pi Val: 3.1415896685151664
Task 2 - Pi Val: 3.1415896773993171
Task 2 - Pi Val: 3.1415896862307428
Task 2 - Pi Val: 3.1415896950099116
Task 2 - Pi Val: 3.1415897037372859
Task 2 - Pi Val: 3.1415897124133227
Task 2 - Pi Val: 3.1415897210384736
Task 2 - Pi Val: 3.1415897296131851
Task 2 - Pi Val: 3.1415897381378982
Task 2 - Pi Val: 3.1415897466130491
Task 2 - Pi Val: 3.1415897550390686
Task 2 - Pi Val: 3.1415897634163829
Task 2 - Pi Val: 3.1415897717454129
Task 2 - Pi Val: 3.1415897800265749
Task 2 - Pi Val: 3.1415897882602804
Task 2 - Pi Val: 3.1415897964469361
Task 2 - Pi Val: 3.1415898045869443
Task 2 - Pi Val: 3.1415898126807024
Task 2 - Pi Val: 3.1415898207286035
Task 2 - Pi Val: 3.1415898287310362
Task 2 - Pi Val: 3.1415898366883848
Task 2 - Pi Val: 3.1415898446010292
Task 2 - Pi Val: 3.1415898524693451
Task 2 - Pi Val: 3.1415898602937039
Task 2 - Pi Val: 3.1415898680744729
Task 2 - Pi Val: 3.1415898758120155
Task 2 - Pi Val: 3.1415898835066908
Task 2 - Pi Val: 3.1415898911588540
Task 2 - Pi Val: 3.1415898987688566
Task 2 - Pi Val: 3.1415899063370460
Task 2 - Pi Val: 3.1415899138637659
Task 2 - Pi Val: 3.1415899213493561
Task 2 - Pi Val: 3.1415899287941529
Task 2 - Pi Val: 3.1415899361984889
Task 2 - Pi Val: 3.1415899435626930
Task 2 - Pi Val: 3.1415899508870906
Task 2 - Pi Val: 3.1415899581720035
Task 2 - Pi Val: 3.1415899654177502
Task 2 - Pi Val: 3.1415899726246458
Task 2 - Pi Val: 3.1415899797930018
Task 2 - Pi Val: 3.1415899869231266
Task 2 - Pi Val: 3.1415899940153252
Task 2 - Pi Val: 3.1415900010698994
Task 2 - Pi Val: 3.1415900080871478
Task 2 - Pi Val: 3.1415900150673658
Task 2 - Pi Val: 3.1415900220108459
Task 2 - Pi Val: 3.1415900289178772
Task 2 - Pi Val: 3.1415900357887461
Task 2 - Pi Val: 3.1415900426237358
Task 2 - Pi Val: 3.1415900494231266
Task 2 - Pi Val: 3.1415900561871959
Task 2 - Pi Val: 3.1415900629162181
Task 2 - Pi Val: 3.1415900696104651
Task 2 - Pi Val: 3.1415900762702056
Task 2 - Pi Val: 3.1415900828957059
Task 2 - Pi Val: 3.1415900894872292
Task 2 - Pi Val: 3.1415900960450362
Task 2 - Pi Val: 3.1415901025693851
Task 2 - Pi Val: 3.1415901090605312
Task 2 - Pi Val: 3.1415901155187273
Task 2 - Pi Val: 3.1415901219442236
Task 2 - Pi Val: 3.1415901283372680
Task 2 - Pi Val: 3.1415901346981056
Task 2 - Pi Val: 3.1415901410269792
Task 2 - Pi Val: 3.1415901473241291
Task 2 - Pi Val: 3.1415901535897933
Task 2 - Pi Val: 3.1415901598242072
Task 2 - Pi Val: 3.1415901660276042
Task 2 - Pi Val: 3.1415901722002151
Task 2 - Pi Val: 3.1415901783422685
Task 2 - Pi Val: 3.1415901844539908
Task 2 - Pi Val: 3.1415901905356061
Task 2 - Pi Val: 3.1415901965873363
Task 2 - Pi Val: 3.1415902026094011
Task 2 - Pi Val: 3.1415902086020182
Task 2 - Pi Val: 3.1415902145654030
Task 2 - Pi Val: 3.1415902204997689
Task 2 - Pi Val: 3.1415902264053272
Task 2 - Pi Val: 3.1415902322822872
Task 2 - Pi Val: 3.1415902381308561
Task 2 - Pi Val: 3.1415902439512390
Task 2 - Pi Val: 3.1415902497436394
Task 2 - Pi Val: 3.1415902555082585
Task 2 - Pi Val: 3.1415902612452956
Task 2 - Pi Val: 3.1415902669549484
Task 2 - Pi Val: 3.1415902726374123
Task 2 - Pi Val: 3.1415902782928811
Task 2 - Pi Val: 3.1415902839215468
Task 2 - Pi Val: 3.1415902895235994
Task 2 - Pi Val: 3.1415902950992272
Task 2 - Pi Val: 3.1415903006486168
Task 2 - Pi Val: 3.1415903061719529
Task 2 - Pi Val: 3.1415903116694185
Task 2 - Pi Val: 3.1415903171411951
Task 2 - Pi Val: 3.1415903225874623
Task 2 - Pi Val: 3.1415903280083979
Task 2 - Pi Val: 3.1415903334041784
Task 2 - Pi Val: 3.1415903387749784
Task 2 - Pi Val: 3.1415903441209711
Task 2 - Pi Val: 3.1415903494423278
Task 2 - Pi Val: 3.1415903547392185
Task 2 - Pi Val: 3.1415903600118116
Task 2 - Pi Val: 3.1415903652602738
Task 2 - Pi Val: 3.1415903704847704
Task 2 - Pi Val: 3.1415903756854652
Task 2 - Pi Val: 3.1415903808625205
Task 2 - Pi Val: 3.1415903860160971
Task 2 - Pi Val: 3.1415903911463543
Task 2 - Pi Val: 3.1415903962534501
Task 2 - Pi Val: 3.1415904013375410
Task 2 - Pi Val: 3.1415904063987820
Task 2 - Pi Val: 3.1415904114373269
Task 2 - Pi Val: 3.1415904164533279
Task 2 - Pi Val: 3.1415904214469361
Task 2 - Pi Val: 3.1415904264183010
Task 2 - Pi Val: 3.1415904313675710
Task 2 - Pi Val: 3.1415904362948930
Task 2 - Pi Val: 3.1415904412004127
Task 2 - Pi Val: 3.1415904460842745
Task 2 - Pi Val: 3.1415904509466214
Task 2 - Pi Val: 3.1415904557875954
Task 2 - Pi Val: 3.1415904606073371
Task 2 - Pi Val: 3.1415904654059858
Task 2 - Pi Val: 3.1415904701836797
Task 2 - Pi Val: 3.1415904749405558
Task 2 - Pi Val: 3.1415904796767497
Task 2 - Pi Val: 3.1415904843923963
Task 2 - Pi Val: 3.1415904890876287
Task 2 - Pi Val: 3.1415904937625794
Task 2 - Pi Val: 3.1415904984173794
Task 2 - Pi Val: 3.1415905030521588
Task 2 - Pi Val: 3.1415905076670465
Task 2 - Pi Val: 3.1415905122621701
Task 2 - Pi Val: 3.1415905168376565
Task 2 - Pi Val: 3.1415905213936312
Task 2 - Pi Val: 3.1415905259302188
Task 2 - Pi Val: 3.1415905304475427
Task 2 - Pi Val: 3.1415905349457254
Task 2 - Pi Val: 3.1415905394248884
Task 2 - Pi Val: 3.1415905438851519
Task 2 - Pi Val: 3.1415905483266353
Task 2 - Pi Val: 3.1415905527494571
Task 2 - Pi Val: 3.1415905571537345
Task 2 - Pi Val: 3.1415905615395840
Task 2 - Pi Val: 3.1415905659071210
Task 2 - Pi Val: 3.1415905702564599
Task 2 - Pi Val: 3.1415905745877142
Task 2 - Pi Val: 3.1415905789009965
Task 2 - Pi Val: 3.1415905831964185
Task 2 - Pi Val: 3.1415905874740907
Task 2 - Pi Val: 3.1415905917341231
Task 2 - Pi Val: 3.1415905959766245
Task 2 - Pi Val: 3.1415906002017029
Task 2 - Pi Val: 3.1415906044094654
Task 2 - Pi Val: 3.1415906086000182
Task 2 - Pi Val: 3.1415906127734667
Task 2 - Pi Val: 3.1415906169299154
Task 2 - Pi Val: 3.1415906210694680
Task 2 - Pi Val: 3.1415906251922273
Task 2 - Pi Val: 3.1415906292982952
Task 2 - Pi Val: 3.1415906333877730
Task 2 - Pi Val: 3.1415906374607610
Task 2 - Pi Val: 3.1415906415173586
Task 2 - Pi Val: 3.1415906455576647
Task 2 - Pi Val: 3.1415906495817772
Task 2 - Pi Val: 3.1415906535897932
Task 2 - Pi Val: 3.1415906575818092
Task 2 - Pi Val: 3.1415906615579207
Task 2 - Pi Val: 3.1415906655182226
Task 2 - Pi Val: 3.1415906694628091
Task 2 - Pi Val: 3.1415906733917734
Task 2 - Pi Val: 3.1415906773052082
Task 2 - Pi Val: 3.1415906812032054
Task 2 - Pi Val: 3.1415906850858562
Task 2 - Pi Val: 3.1415906889532510
Task 2 - Pi Val: 3.1415906928054795
Task 2 - Pi Val: 3.1415906966426308
Task 2 - Pi Val: 3.1415907004647932
Task 2 - Pi Val: 3.1415907042720544
Task 2 - Pi Val: 3.1415907080645014
Task 2 - Pi Val: 3.1415907118422204
Task 2 - Pi Val: 3.1415907156052971
Task 2 - Pi Val: 3.1415907193538164
Task 2 - Pi Val: 3.1415907230878627
Task 2 - Pi Val: 3.1415907268075196
Task 2 - Pi Val: 3.1415907305128701
Task 2 - Pi Val: 3.1415907342039967
Task 2 - Pi Val: 3.1415907378809810
Task 2 - Pi Val: 3.1415907415439041
Task 2 - Pi Val: 3.1415907451928467
Task 2 - Pi Val: 3.1415907488278885
Task 2 - Pi Val: 3.1415907524491088
Task 2 - Pi Val: 3.1415907560565864
Task 2 - Pi Val: 3.1415907596503993
Task 2 - Pi Val: 3.1415907632306250
Task 2 - Pi Val: 3.1415907667973404
Task 2 - Pi Val: 3.1415907703506218
Task 2 - Pi Val: 3.1415907738905451
Task 2 - Pi Val: 3.1415907774171853
Task 2 - Pi Val: 3.1415907809306172
Task 2 - Pi Val: 3.1415907844309147
Task 2 - Pi Val: 3.1415907879181514
Task 2 - Pi Val: 3.1415907913924003
Task 2 - Pi Val: 3.1415907948537337
Task 2 - Pi Val: 3.1415907983022236
Task 2 - Pi Val: 3.1415908017379414
Task 2 - Pi Val: 3.1415908051609577
Task 2 - Pi Val: 3.1415908085713430
Task 2 - Pi Val: 3.1415908119691671
Task 2 - Pi Val: 3.1415908153544991
Task 2 - Pi Val: 3.1415908187274079
Task 2 - Pi Val: 3.1415908220879617
Task 2 - Pi Val: 3.1415908254362283
Task 2 - Pi Val: 3.1415908287722750
Task 2 - Pi Val: 3.1415908320961684
Task 2 - Pi Val: 3.1415908354079750
Task 2 - Pi Val: 3.1415908387077605
Task 2 - Pi Val: 3.1415908419955903
Task 2 - Pi Val: 3.1415908452715292
Task 2 - Pi Val: 3.1415908485356416
Task 2 - Pi Val: 3.1415908517879914
Task 2 - Pi Val: 3.1415908550286421
Task 2 - Pi Val: 3.1415908582576568
Task 2 - Pi Val: 3.1415908614750979
Task 2 - Pi Val: 3.1415908646810276
Task 2 - Pi Val: 3.1415908678755075
Task 2 - Pi Val: 3.1415908710585989
Task 2 - Pi Val: 3.1415908742303626
Task 2 - Pi Val: 3.1415908773908589
Task 2 - Pi Val: 3.1415908805401478
Task 2 - Pi Val: 3.1415908836782888
Task 2 - Pi Val: 3.1415908868053409
Task 2 - Pi Val: 3.1415908899213629
Task 2 - Pi Val: 3.1415908930264129
Task 2 - Pi Val: 3.1415908961205489
Task 2 - Pi Val: 3.1415908992038283
Task 2 - Pi Val: 3.1415909022763081
Task 2 - Pi Val: 3.1415909053380450
Task 2 - Pi Val: 3.1415909083890951
Task 2 - Pi Val: 3.1415909114295145
Task 2 - Pi Val: 3.1415909144593584
Task 2 - Pi Val: 3.1415909174786821
Task 2 - Pi Val: 3.1415909204875402
Task 2 - Pi Val: 3.1415909234859870
Task 2 - Pi Val: 3.1415909264740765
Task 2 - Pi Val: 3.1415909294518622
Task 2 - Pi Val: 3.1415909324193973
Task 2 - Pi Val: 3.1415909353767348
Task 2 - Pi Val: 3.1415909383239270
Task 2 - Pi Val: 3.1415909412610261
Task 2 - Pi Val: 3.1415909441880838
Task 2 - Pi Val: 3.1415909471051516
Task 2 - Pi Val: 3.1415909500122804
Task 2 - Pi Val: 3.1415909529095211
Task 2 - Pi Val: 3.1415909557969239
Task 2 - Pi Val: 3.1415909586745390
Task 2 - Pi Val: 3.1415909615424159
Task 2 - Pi Val: 3.1415909644006040
Task 2 - Pi Val: 3.1415909672491524
Task 2 - Pi Val: 3.1415909700881097
Task 2 - Pi Val: 3.1415909729175243
Task 2 - Pi Val: 3.1415909757374442
Task 2 - Pi Val: 3.1415909785479172
Task 2 - Pi Val: 3.1415909813489905
Task 2 - Pi Val: 3.1415909841407114
Task 2 - Pi Val: 3.1415909869231265
Task 2 - Pi Val: 3.1415909896962824
Task 2 - Pi Val: 3.1415909924602251
Task 2 - Pi Val: 3.1415909952150005
Task 2 - Pi Val: 3.1415909979606541
Task 2 - Pi Val: 3.1415910006972312
Task 2 - Pi Val: 3.1415910034247767
Task 2 - Pi Val: 3.1415910061433352
Task 2 - Pi Val: 3.1415910088529511
Task 2 - Pi Val: 3.1415910115536684
Task 2 - Pi Val: 3.1415910142455309
Task 2 - Pi Val: 3.1415910169285821
Task 2 - Pi Val: 3.1415910196028651
Task 2 - Pi Val: 3.1415910222684229
Task 2 - Pi Val: 3.1415910249252981
Task 2 - Pi Val: 3.1415910275735330
Task 2 - Pi Val: 3.1415910302131698
Task 2 - Pi Val: 3.1415910328442502
Task 2 - Pi Val: 3.1415910354668159
Task 2 - Pi Val: 3.1415910380809079
Task 2 - Pi Val: 3.1415910406865674
Task 2 - Pi Val: 3.1415910432838351
Task 2 - Pi Val: 3.1415910458727514
Task 2 - Pi Val: 3.1415910484533566
Task 2 - Pi Val: 3.1415910510256906
Task 2 - Pi Val: 3.1415910535897932
Task 2 - Pi Val: 3.1415910561457037
Task 2 - Pi Val: 3.1415910586934615
Task 2 - Pi Val: 3.1415910612331053
Task 2 - Pi Val: 3.1415910637646740
